item_type,date_uploaded,source_file,item_id,title,genre,source,date,place_of_origin,subject,item_format,language,contributor,rights,alternative_title,image_url
['still image'],2024-12-08,loc-item-metadata\cph-3g08479.json,2002700239,Gokakoku ... gankirō ni oite sakamori no zu,"['Triptychs--Japanese--1860', 'Woodcuts--Japanese--Color--1860']",https://www.loc.gov/item/2002700239/,1860.,['Japan--Yokohama-shi'],"['Foreign visitors--Japan--Yokohama-shi--1860', 'Entertainment--Japan--Yokohama-shi--1860', 'Courtesans--Japan--Yokohama-shi--1860', 'Eating & drinking--Japan--Yokohama-shi--1860', 'Teahouses--Japan--Yokohama-shi--1860-1870']","['1 print on hōsho paper (3 sheets) : woodcut, color ; 36.5 x 24.5 cm. (each block), 37 x 24.8 cm. (each sheet)']",['jpn'],"['Ochiai, Yoshiiku, 1833-1904, artist.']",No known restrictions on publication.,['Five nations - merrymaking at the Gankirō tea house.'],https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g08000/3g08400/3g08479v.jpg#h=1024&w=813
['still image'],2024-12-08,loc-item-metadata\cph-3g10372.json,2002700113,[Village scene in Japan showing people engaged in various activities],['Woodcuts--Japanese--Color--1860-1880'],https://www.loc.gov/item/2002700113/,[ca. 1870],['Japan'],"['City & town life--Japan--1860-1880', 'Rickshaws--Japan--1860-1880', 'Horseback riding--Japan--1860-1880', 'Boats--Japan--1860-1880', 'Farming--Japan--1860-1880', 'Conversation--1860-1880']","['1 print on hōsho paper : woodcut, color ; 35 x 23 cm. (block), 35.6 x 23 cm. (sheet)']",['jpn'],Not found,No known restrictions on publication.,Not found,https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10300/3g10372v.jpg#h=1024&w=828
['still image'],2024-12-08,loc-item-metadata\cph-3g10434.json,2002700173,Ueno kōen naikoku kangyō daini hakurankai bijutsukan narabini [shojo] funsuiki no zu,"['Woodcuts--Japanese--Color--1880-1890', 'Triptychs--Japanese--Color--1880-1890']",https://www.loc.gov/item/2002700173/,1881.,"['Japan--Tokyo', 'Ueno Kōen (Tokyo, Japan)']","['Exhibitions--Japan--Tokyo--1880-1890', 'People--Japan--Tokyo--1880-1890', 'Fountains--Japan--Tokyo--1880-1890', 'Ueno Kōen (Tokyo, Japan)']","['1 print on hōsho paper (3 sheets) : woodcut, color ; each block 36.2 x 24.2 cm., each sheet 37.5 x 25 cm.']",['jpn'],"['Utagawa, Hiroshige, 1842?-1894, artist, engraver.']",No known restrictions on publication.,['Second national industrial exhibition at Ueno Park.'],https://tile.loc.gov/storage-services/service/pnp/ppmsca/57400/57455v.jpg#h=1024&w=701
['still image'],2024-12-08,loc-item-metadata\cph-3g10521.json,2002700238,Amerikajin yūgyō,['Woodcuts--Japanese--Color--1860-1870'],https://www.loc.gov/item/2002700238/,[186-],['Japan'],"['Foreign visitors--American--Japan--1860-1870', 'Families--Japan--1860-1870', 'Walking--Japan--1860-1870', 'Recreation--Japan--1860-1870']","['1 print on hōsho paper : woodcut, color ; 35.5 x 24.2 cm. (block), 37.5 x 25.2 cm. (sheet)']",['jpn'],"['Utagawa, Yoshifuji, 1828-1887, artist.']",No known restrictions on publication.,['Americans taking a stroll.'],https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10521v.jpg#h=1024&w=822
['still image'],2024-12-08,loc-item-metadata\cph-3g10539.json,2002700255,Amerikakoku jōkisenchū no zu,"['Triptychs--Japanese--1860-1870', 'Woodcuts--Japanese--Color--1860-1870']",https://www.loc.gov/item/2002700255/,1861.,['Japan'],"['Dining rooms--Japan--1860-1870', 'Passenger quarters--1860-1870', 'Eating & drinking--Japan--1860-1870', 'Ships--American--Japan--1860-1870']","['1 print on hōsho paper (3 sheets) : woodcut, color ; 35.9 x 24.4 cm. (each block), 37.2 x 25.6 cm. (each sheet)']",['jpn'],"['Utagawa, Yoshikazu, active 1848-1863, artist.']",No known restrictions on publication.,['Interior of an American steamship.'],https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g10000/3g10500/3g10539v.jpg#h=1024&w=825
['still image'],2024-12-08,loc-item-metadata\jpd-00046.json,2009615043,Koishikawa yuki no ashita,"['Landscape prints--1830-1840', 'Ukiyo-e--Japanese--1830-1840', 'Woodcuts--Japanese--Color--1830-1840']",https://www.loc.gov/item/2009615043/,[1832 or 1833],['Japan'],"['Snow--Japan--1830-1840', 'Winter--Japan--1830-1840']","['1 print : woodcut, color ; 25.3 x 37.4 cm.']",['jpn'],"['Katsushika, Hokusai, 1760-1849, artist.']",No known restrictions on publication.,['Snow at Koishikawa.'],https://tile.loc.gov/storage-services/service/pnp/jpd/00000/00046v.jpg#h=700&w=1024
['still image'],2024-12-08,loc-item-metadata\jpd-00139.json,2009615132,Semitori,"['Ukiyo-e--Japanese--1760-1770', 'Woodcuts--Japanese--Color--1760-1770']",https://www.loc.gov/item/2009615132/,1765.,['Japan'],"['Women--Domestic life--Japan--1760-1770', 'Children--Japan--1760-1770', 'Recreation--Japan--1760-1770', 'Crickets--Japan--1760-1770']","['1 print : woodcut, color ; 27.7 x 19.1 cm.']",['jpn'],"['Suzuki, Harunobu, 1725?-1770, artist.']",No known restrictions on publication.,['Catching crickets.'],https://tile.loc.gov/storage-services/service/pnp/jpd/00100/00139v.jpg#h=1024&w=712
['still image'],2024-12-08,loc-item-metadata\jpd-00154.json,2009615185,Hanami zuki,"['Ukiyo-e--Japanese--1780-1790', 'Woodcuts--Japanese--Color--1780-1790']",https://www.loc.gov/item/2009615185/,[between 1785 and 1789],['Japan'],"['Cherry trees--Japan--1780-1790', 'Women--Social life--Japan--1780-1790', 'Courtesans--Japan--1780-1790', 'Red-light districts--Japan--1780-1790']","['1 print : woodcut, color ; 22.4 x 15.9 cm.']",['jpn'],"['Torii, Kiyonaga, 1752-1815, artist.']",No known restrictions on publication.,['Cherry blossom viewing month.'],https://tile.loc.gov/storage-services/service/pnp/jpd/00100/00154v.jpg#h=1024&w=739
['still image'],2024-12-08,loc-item-metadata\jpd-00181.json,2009615173,Kanbara,"['Ukiyo-e--Japanese--1850-1860', 'Woodcuts--Japanese--Color--1850-1860']",https://www.loc.gov/item/2009615173/,[ca. 1855],"['Japan', 'Tōkaidō (Japan)', 'Fuji, Mount (Japan)']","['Pilgrimages--Japan--1850-1860', 'Pilgrims--Japan--1850-1860', 'Teahouses--Japan--1850-1860', 'Tōkaidō (Japan)', 'Fuji, Mount (Japan)']","['1 print : woodcut, color ; 36 x 24.7 cm.']",['jpn'],"['Andō, Hiroshige, 1797-1858, artist.']",No known restrictions on publication.,Not found,https://tile.loc.gov/storage-services/service/pnp/jpd/00100/00181v.jpg#h=1024&w=713
['still image'],2024-12-08,loc-item-metadata\jpd-00278.json,2009615268,Higashi no kata Arakuma,"['Portrait prints--1840-1850', 'Ukiyo-e--Japanese--1840-1850', 'Woodcuts--Japanese--Color--1840-1850']",https://www.loc.gov/item/2009615268/,[ca. 1847],['Japan'],['Sumo wrestlers--Japan--1840-1850'],"['1 print : woodcut, color ; 38.3 x 25.7 cm.']",['jpn'],"['Utagawa, Kunisada, 1786-1864, artist.']",No known restrictions on publication.,['The wrestler Arakuma of the East Side.'],https://tile.loc.gov/storage-services/service/pnp/jpd/00200/00278v.jpg#h=1024&w=710
['still image'],2024-12-08,loc-item-metadata\jpd-00501.json,2009615472,Sumida tsutsumi hanami no zu,"['Ukiyo-e--Japanese--1840-1860', 'Woodcuts--Japanese--Color--1840-1860']",https://www.loc.gov/item/2009615472/,[between 1848 and 1854],"['Japan', 'Sumida River (Japan)']","['Sightseers--Japan--1840-1860', 'Cherry trees--Japan--1840-1860', 'Flowers--Japan--1840-1860', 'Rivers--Japan--1840-1860', 'Sumida River (Japan)']","['1 print : woodcut, color ; 24.4 x 37 cm.']",['jpn'],"['Andō, Hiroshige, 1797-1858, artist.']",No known restrictions on publication.,['Viewing cherry blossoms along the Sumida River.'],https://tile.loc.gov/storage-services/service/pnp/jpd/00500/00501v.jpg#h=690&w=1024
['still image'],2024-12-08,loc-item-metadata\jpd-00507.json,2009615477,Sakura namiki zu,"['Landscape prints--1820-1860', 'Ukiyo-e--Japanese--1820-1860', 'Woodcuts--Japanese--Color--1820-1860--Reproductions--1890-1920']",https://www.loc.gov/item/2009615477/,"[between 1820 and 1858, printed later]",['Japan'],"['Cherry trees--Japan--1820-1860', 'Flowers--Japan--1820-1860']","['1 print : woodcut, color ; 25.5 x 37.7 cm.']",['jpn'],"['Andō, Hiroshige, 1797-1858, artist.']",No known restrictions on publication.,['A Grove of Cherry Trees.'],https://tile.loc.gov/storage-services/service/pnp/jpd/00500/00507v.jpg#h=700&w=1024
['still image'],2024-12-08,loc-item-metadata\jpd-00790.json,2008660052,Hagi,"['Ukiyo-e--1800-1810', 'Woodcuts--Japanese--Color--1800-1810']",https://www.loc.gov/item/2008660052/,1809.,['Japan'],"['Women--Clothing & dress--Japan--1800-1810', 'Shrubs--Japan--1800-1810', 'Poets--Japan--1800-1810']","['1 print : woodcut, color ; 37.6 x 26.4 cm.']",['jpn'],"['Utagawa, Toyokuni, 1769-1825, artist.']",No known restrictions on publication.,['Bushclover.'],https://tile.loc.gov/storage-services/service/pnp/jpd/00700/00790v.jpg#h=1024&w=733
['still image'],2024-12-08,loc-item-metadata\jpd-01197.json,2009630236,Sakura cherry,['Ink drawings--Japanese--Color--1870-1880'],https://www.loc.gov/item/2009630236/,[187-],['Japan'],"['Flowers--Japan--1870-1880', 'Cherry trees--Japan--1870-1880', 'Leaves--1870-1880']","['1 drawing : ink, color ; 14 x 9.7 cm (sheet)']",['eng'],Not found,No known restrictions on publication.,Not found,https://tile.loc.gov/storage-services/service/pnp/jpd/01100/01197v.jpg#h=1024&w=722
['still image'],2024-12-08,loc-item-metadata\jpd-01271.json,2005675751,Tanba kanesaka,"['Ukiyo-e--1850-1860', 'Landscape prints--Japanese--1850-1860', 'Woodcuts--Color--Japanese--1850-1860']",https://www.loc.gov/item/2005675751/,1853],['Japan--Tanba Region'],['Rock formations--Japan--Tanba Region--1850-1860'],"['1 print : woodcut, color ; 35.9 x 24.1 cm.']",['jpn'],"['Andō, Hiroshige, 1797-1858, artist.']",No known restrictions on publication.,['Kanesaka of Tanba.'],https://tile.loc.gov/storage-services/service/pnp/jpd/01200/01271v.jpg#h=1024&w=695
['still image'],2024-12-08,loc-item-metadata\jpd-01307.json,2004666335,Tōto meguro yuhhigaoka,"['Ukiyo-e--1850-1860', 'Landscape prints--Japanese--1850-1860', 'Woodcuts--Color--Japanese--1850-1860']",https://www.loc.gov/item/2004666335/,1858.,"['Japan--Tokyo', 'Fuji, Mount (Japan)']","['Maples--Japan--Tokyo--1850-1860', 'Fuji, Mount (Japan)--1850-1860']","['1 print : woodcut, color ; 35.8 x 24.6 cm.']",['jpn'],"['Andō, Hiroshige, 1797-1858, artist.']",No known restrictions on publication.,"['Sunset Hill, Meguro in the eastern capitol.']",https://tile.loc.gov/storage-services/service/pnp/jpd/01300/01307v.jpg#h=1024&w=710
['still image'],2024-12-08,loc-item-metadata\jpd-01317.json,2004666330,Suruga miho no matsubara,"['Ukiyo-e--1850-1860', 'Landscape prints--Japanese--1850-1860', 'Woodcuts--Color--Japanese--1850-1860']",https://www.loc.gov/item/2004666330/,1858.,"['Japan', 'Fuji, Mount (Japan)', 'Suruga Bay (Japan)']","['Sailboats--Japanese--Japan--1850-1860', 'Fuji, Mount (Japan)--1850-1860', 'Suruga Bay (Japan)--1850-1860']","['1 print : woodcut, color ; 36 x 24.6 cm.']",['jpn'],"['Andō, Hiroshige, 1797-1858, artist.']",No known restrictions on publication.,['Pine beach at Miho in Suruga.'],https://tile.loc.gov/storage-services/service/pnp/jpd/01300/01317v.jpg#h=1024&w=711
