item_type,date_uploaded,source_file,item_id,title,genre,source,date,place_of_origin,subject,item_format,language,contributor,rights,alternative_title
still image,2024-12-08,nypl-item-metadata\cc31a650-c5d1-012f-6b18-58d385a7bc34.json,cc31a650-c5d1-012f-6b18-58d385a7bc34,"['Ikuta Temple, Kobe.']",Postcards,https://digitalcollections.nypl.org/items/cc31a650-c5d1-012f-6b18-58d385a7bc34,"['1901', '1907']",s.l.,"['Kōbe-shi (Japan)', 'Shinto shrines--Japan']","['Collotypes', '9 x 14 cm.']",eng,s.n.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\cce57610-c5d1-012f-a037-58d385a7bc34.json,cce57610-c5d1-012f-a037-58d385a7bc34,"[""Birds ege [i.e., bird's eye] view of Kobe.""]","['Postcards', 'Cityscapes', 'Aerial views']",https://digitalcollections.nypl.org/items/cce57610-c5d1-012f-a037-58d385a7bc34,Not found,"Kobe, Japan","['Kōbe-shi (Japan)', 'Harbors', 'Cities and towns--Japan']","['Halftone photomechanical prints', '9 x 14 cm.']",eng,"Sakaeya (Firm : Kobe, Japan)","The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\cd2efcf0-c5d1-012f-5a5a-58d385a7bc34.json,cd2efcf0-c5d1-012f-5a5a-58d385a7bc34,[],Postcards,https://digitalcollections.nypl.org/items/cd2efcf0-c5d1-012f-5a5a-58d385a7bc34,"['1907', '1918']",Made in Japan,"['Kōbe-shi (Japan)', 'Lighthouses', 'Junks']","['Collotypes', '9 x 14 cm.']",Not found,"Sakaeya (Firm : Kobe, Japan)","The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d01dca70-6050-013a-5ba5-0242ac110002.json,d01dca70-6050-013a-5ba5-0242ac110002,['Central port of Hongkong & Kowloon Harbour. Decorated for the 4th of July 1905'],Postcards,https://digitalcollections.nypl.org/items/d01dca70-6050-013a-5ba5-0242ac110002,"['1900', '1925']",Hong Kong,Not found,"['Collotypes', '9 x 14 cm', 'Tinted collotypes.']",eng,"Sternberg, M.","The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d20c4e50-6052-013a-0925-0242ac110004.json,d20c4e50-6052-013a-0925-0242ac110004,"['Blue buildings - Praya East, Hongkong']",Postcards,https://digitalcollections.nypl.org/items/d20c4e50-6052-013a-0925-0242ac110004,"['1900', '1925']",Hong Kong,Not found,"['Collotypes', '9 x 14 cm', 'Tinted collotype.']",eng,"Sternberg, M.","The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d4747fa0-c5d2-012f-024f-58d385a7bc34.json,d4747fa0-c5d2-012f-024f-58d385a7bc34,"['Moon Plains, Nuwara Eliya.']",Postcards,https://digitalcollections.nypl.org/items/d4747fa0-c5d2-012f-024f-58d385a7bc34,"['1907', '1918']",Ceylon,"['Nuwara Eliya (Sri Lanka : District)', 'Rivers', 'Dirt roads', 'Tank irrigation', 'Irrigation']","['Collotypes', '9 x 14 cm.']",,A.W.A. Plâté & Co.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d4bde5a0-c5d2-012f-e0a5-58d385a7bc34.json,d4bde5a0-c5d2-012f-e0a5-58d385a7bc34,"['General view of Nuwara Eliya, showing Pedro.']","['Postcards', 'Landscapes (Representations)']",https://digitalcollections.nypl.org/items/d4bde5a0-c5d2-012f-e0a5-58d385a7bc34,Not found,Ceylon,"['Nuwara Eliya (Sri Lanka : District)', 'Valleys', 'Mountains--Sri Lanka']","['Collotypes', '9 x 14 cm.']",eng,A.W.A. Plâté & Co.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d4eff410-c5d1-012f-3c44-58d385a7bc34.json,d4eff410-c5d1-012f-3c44-58d385a7bc34,"[""Bird's-eye view from east, Doshisha, Kyoto.""]",Postcards,https://digitalcollections.nypl.org/items/d4eff410-c5d1-012f-3c44-58d385a7bc34,"['1907', '1918']",s.l.,"['Kyoto (Japan)', 'Universities & colleges', 'Architecture--Japan--Western influences']","['Collotypes', '9 x 14 cm.']",eng,s.n.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d4f62060-c5d2-012f-a308-58d385a7bc34.json,d4f62060-c5d2-012f-a308-58d385a7bc34,"['Nuwara Eliya, Ceylon.']","['Postcards', 'Landscapes (Representations)']",https://digitalcollections.nypl.org/items/d4f62060-c5d2-012f-a308-58d385a7bc34,"['1907', '1918']",Ceylon,"['Nuwara Eliya (Sri Lanka : District)', 'Streams', 'Riparian areas']","['Collotypes', '9 x 14 cm.']",eng,A.W.A. Plâté & Co.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d536af10-c5d1-012f-b7cd-58d385a7bc34.json,d536af10-c5d1-012f-b7cd-58d385a7bc34,"['Fushimi Inari, Kyoto.']",Postcards,https://digitalcollections.nypl.org/items/d536af10-c5d1-012f-b7cd-58d385a7bc34,"['1901', '1907']",s.l.,Not found,"['Collotypes', '9 x 14 cm.']",eng,s.n.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d67412e0-c5d1-012f-1720-58d385a7bc34.json,d67412e0-c5d1-012f-1720-58d385a7bc34,"['Kitano-Tenmangu Shrine, Kyoto.']",Postcards,https://digitalcollections.nypl.org/items/d67412e0-c5d1-012f-1720-58d385a7bc34,"['1907', '1918']",Made in Japan,Not found,"['Collotypes', '9 x 14 cm.']",eng,s.n.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d6a726e0-c5d1-012f-ba80-58d385a7bc34.json,d6a726e0-c5d1-012f-ba80-58d385a7bc34,"['Shijo Bridge, Kyoto.']","['Postcards', 'Cityscape photographs']",https://digitalcollections.nypl.org/items/d6a726e0-c5d1-012f-ba80-58d385a7bc34,"['1907', '1918']",s.l.,"['Kyoto (Japan)', 'Bridges', 'Kamo River (Japan)', 'Street railroads', 'Cities & towns']","['Collotypes', '9 x 14 cm.']",eng,s.n.,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\d834c360-604d-013a-45b7-0242ac110003.json,d834c360-604d-013a-45b7-0242ac110003,"[""Canton Steamer's Warf, Hongkong""]",Postcards,https://digitalcollections.nypl.org/items/d834c360-604d-013a-45b7-0242ac110003,"['1900', '1925']",Hong Kong,Not found,"['Halftone photomechanical prints', '9 x 14 cm', 'Tinted halftone.']",eng,"Sternberg, M.","The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\da21c9a0-c5d1-012f-46b8-58d385a7bc34.json,da21c9a0-c5d1-012f-46b8-58d385a7bc34,"['Avenue of wooden torii, Fushimi Shrine, Kyoto.']",Postcards,https://digitalcollections.nypl.org/items/da21c9a0-c5d1-012f-46b8-58d385a7bc34,Not found,Made in Japan,Not found,"['Halftone photomechanical prints', '9 x 14 cm.']",eng,Japan. Tetsudōshō,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
still image,2024-12-08,nypl-item-metadata\dd587b60-65a2-013a-133f-0242ac110002.json,dd587b60-65a2-013a-133f-0242ac110002,[],Postcards,https://digitalcollections.nypl.org/items/dd587b60-65a2-013a-133f-0242ac110002,Not found,Hong Kong,Not found,"['Halftone photomechanical prints', 'Extent: 9 x 14 cm']",Not found,Tai Woo,"The New York Public Library believes that this item is in the public domain under the laws of the United States, but did not make a determination as to its copyright status under the copyright laws of other countries. This item may not be in the public domain under the laws of other countries. Though not required, if you want to credit us as the source, please use the following statement, ""From The New York Public Library,"" and provide a link back to the item on our Digital Collections site. Doing so helps us track how our collection is used and helps justify freely releasing even more content in the future.",Not found
